,Log.Median.Scalar.Body,Log.Median.Scalar.Brain,Group,Taxa.List
153,6.326087825,2.519862275,Mesozoic,"Agriochoerus_sp.,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Homacodon_vagans,Leptotragulus_sp.,Loxolophus_priscus,Mesonyx_obtusidens,Mouillacitherium_elegans,Oxacron_sp.,Protoreodon_petersoni,Protylopus_sp.,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Zygorhiza_kochii"
154,6.556696749,2.520703445,Mesozoic,"Anisonchus_sectorus,Ectoconus_ditrigonus"
155,-6.599073648,-2.523820363,Paleocene,Anisonchus_sectorus
156,7.233103522,2.524661196,Paleocene,Ectoconus_ditrigonus
157,6.319011389,2.524923233,Mesozoic,"Agriochoerus_sp.,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Eotylopus_sp.,Homacodon_vagans,Leptotragulus_sp.,Loxolophus_priscus,Mesonyx_obtusidens,Mouillacitherium_elegans,Oxacron_sp.,Protoreodon_petersoni,Protylopus_sp.,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Zygorhiza_kochii"
158,6.331477835,2.725761459,Eocene stem groups,Mesonyx_obtusidens
159,6.23888781,-2.525639878,Mesozoic,"Agriochoerus_sp.,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Eotylopus_sp.,Homacodon_vagans,Leptotragulus_sp.,Loxolophus_priscus,Mouillacitherium_elegans,Oxacron_sp.,Protoreodon_petersoni,Protylopus_sp.,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Zygorhiza_kochii"
160,6.240437178,-2.530684184,Mesozoic,"Arctocyon_primaevus,Arctocyonides_arenae,Chriacus_baldwini,Claenodon_ferox,Loxolophus_priscus"
161,-6.23701772,-2.526492489,Paleocene,Chriacus_baldwini
162,6.249443935,2.536225273,Mesozoic,"Arctocyon_primaevus,Arctocyonides_arenae,Claenodon_ferox,Loxolophus_priscus"
163,-6.24934025,-2.541130107,Paleocene,Loxolophus_priscus
164,6.27770022,2.561037423,Internal,"Arctocyon_primaevus,Arctocyonides_arenae,Claenodon_ferox"
165,6.275195163,2.563907812,Paleocene,Claenodon_ferox
166,6.27748556,2.548613267,Paleocene,"Arctocyon_primaevus,Arctocyonides_arenae"
167,-6.284272921,-2.55313877,Paleocene,Arctocyonides_arenae
168,6.286542831,2.551589923,Paleocene,Arctocyon_primaevus
169,-6.063775776,2.523424681,Mesozoic,"Agriochoerus_sp.,Anoplotherium_sp.,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Eotylopus_sp.,Homacodon_vagans,Leptotragulus_sp.,Mouillacitherium_elegans,Oxacron_sp.,Protoreodon_petersoni,Protylopus_sp.,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Zygorhiza_kochii"
170,-5.947850312,-2.514957698,Paleocene,"Diacodexis_ilicis,Dichobune_leporina,Homacodon_vagans,Mouillacitherium_elegans"
171,-5.928095439,-2.515297831,Paleocene,"Diacodexis_ilicis,Dichobune_leporina,Mouillacitherium_elegans"
172,-5.922812638,2.510393636,Eocene crown groups,Mouillacitherium_elegans
173,-5.926696925,-2.518116475,Paleocene,"Diacodexis_ilicis,Dichobune_leporina"
174,-5.926758154,-2.518834719,Eocene crown groups,Diacodexis_ilicis
175,5.920915552,2.512605029,Eocene crown groups,Dichobune_leporina
176,-5.943777562,2.512156469,Eocene crown groups,Homacodon_vagans
177,-6.058460787,2.518142919,Eocene crown groups,Tapirulus_hyracinus
178,6.069983486,2.540341933,Paleocene,"Agriochoerus_sp.,Anoplotherium_sp.,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Dacrytherium_sp.,Dalanistes_ahmedi,Diplobune_sp.,Dorudon_atrox,Eotylopus_sp.,Leptotragulus_sp.,Oxacron_sp.,Protoreodon_petersoni,Protylopus_sp.,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Zygorhiza_kochii"
179,6.072425058,2.546010638,Internal,"Anoplotherium_sp.,Bathygenys_reevesi,Dacrytherium_sp.,Diplobune_sp.,Eotylopus_sp.,Leptotragulus_sp.,Protylopus_sp."
180,-6.059040256,-2.545337202,Eocene crown groups,"Bathygenys_reevesi,Eotylopus_sp.,Leptotragulus_sp.,Protylopus_sp."
181,-6.05470132,-2.539751224,Eocene crown groups,Bathygenys_reevesi
182,6.05284068,2.542832402,Eocene crown groups,"Eotylopus_sp.,Leptotragulus_sp.,Protylopus_sp."
183,6.050606978,2.540154781,Eocene crown groups,Leptotragulus_sp.
184,-6.051530701,-2.544180967,Eocene crown groups,"Eotylopus_sp.,Protylopus_sp."
185,6.048797295,2.542145399,Eocene crown groups,Eotylopus_sp.
186,-6.051098003,-2.544930981,Eocene crown groups,Protylopus_sp.
187,6.182722989,2.636032825,Eocene crown groups,"Anoplotherium_sp.,Dacrytherium_sp.,Diplobune_sp."
188,-6.185270121,2.622268361,Eocene crown groups,"Dacrytherium_sp.,Diplobune_sp."
189,6.184504818,2.621067773,Eocene crown groups,Diplobune_sp.
190,-6.190247404,-2.624926491,Eocene crown groups,Dacrytherium_sp.
191,6.226276059,2.708629409,Eocene crown groups,Anoplotherium_sp.
