Species,Abbreviations,Period,Group,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Petrosal_lobules_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,PL_percentage,Neorcortex_surface_percentage,Period2,Order,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Titanoides_primaevus,Ti_pr,Paleocene,Paleocene,62.2,57.4,664060710,664060.71,43.6485,43648.5,2860.6,NA,NA,NA,6.553718914,NA,14.05,late Paleocene,Pantodonta,USNM 20029,literature/segmented,Tiffanian
Leptolambda_schmidti,Le_sc,Paleocene,Paleocene,57.4,56,256330010,256330.01,69,69000,7300,NA,NA,NA,10.57971014,NA,NA,late Paleocene,Pantodonta,FMNH P26075,literature,Clarforkian
Coryphodon_hamatus,Co_ha,Eocene,Eocene stem groups,55,54.5,425568670,425568.67,93,93000,6000,NA,NA,NA,6.451612903,NA,NA,early Eocene,Pantodonta,YPM 11330,literature,Wasatchian (Wa3)
Coryphodon_elephantopus,Co_el,Eocene,Eocene stem groups,54.5,53,463836680,463836.68,90,90000,4000,NA,NA,NA,4.444444444,NA,NA,early Eocene,Pantodonta,USNM 111,literature,Wasatchian (Wa4-Wa6)
Ectoconus_ditrigonus,Ec_di,Paleocene,Paleocene,65.67,65.58,105644290,105644.29,16.2362,16236.2,1655.46,0.8,482.317,5926,10.196105,0.004927261,8.138997638,early Paleocene,Periptychidae,EPV 134084,segmented,Puercan Pu2
Conacodon_entoconus,Co_en,Paleocene,Paleocene,65.57,65.47,2871160,2871.16,NA,NA,NA,0.5158,NA,NA,NA,NA,NA,early Paleocene,Periptychidae,NMMNH P-47002,segmented,Puercan
Anisonchus_sectorus,An_se,Paleocene,Paleocene,62.7,62.63,1788680,1788.68,3.2982,3298.2,554.314,23.74,NA,NA,16.80656115,0.71978655,NA,early Paleocene,Periptychidae,NMMNH P-19335,segmented,Torrejonian To2
Goniacodon_levisanus,Go_sp,Paleocene,Paleocene,63.48,63.44,11375050,11375.05,NA,NA,NA,1.58658,NA,NA,NA,NA,NA,early Paleocene,Triisodontidae,NMMNH P-16377,segmented,Torrejonian To2
Onychodectes_tisonensis,On_ti,Paleocene,Paleocene,65.27,65.22,5033100,5033.1,4.828130351,4828.130351,452.043,2.73785,NA,NA,9.362692536,0.056706215,NA,early Paleocene,Taeniodonta,AMNH 785,segmented,Puercan Pu3
Ectoganus_copei,Ec_co,Eocene,Eocene stem groups,55,53.3,53394970,53394.97,38.9506,38950.6,4335.68,NA,692.47,8864.3,11.13122776,NA,7.811897161,early Eocene,Taeniodonta,USNM 12714,segmented,Wasatchian Wa3-Wa5
Acmeodon_secans,Ac_se,Paleocene,Paleocene,62.7,62.63,491860,491.86,1.63977,1639.77,227.862,54.6758,186.665,1415.05,13.89597322,3.334357867,13.19140666,early Paleocene,Cimolestidae,KU 7912,segmented,Torrejonian To2
Hyopsodus_paulus,Hy_pa,Eocene,Eocene stem groups,49.25,48.6,1067750,1067.75,3.41861,3418.61,282.813,7.15,240.243,1775.62,8.272748281,0.209149333,13.5300909,middle Eocene,Euungulata,USNM 17980,segmented,Bridgerian Br2
Hyopsodus_lepidus,Hy_le,Eocene,Eocene stem groups,52.1,47.9,457000,457,2.79,2790,240,6.60377,NA,1610.64,8.602150538,0.236694265,NA,middle Eocene,Euungulata,AMNH FM 143783,literature,Bridgerian
Hyopsodus_miticulus,Hy_mi,Eocene,Eocene stem groups,54,52.1,630000,630,3.2,3200,140,NA,NA,NA,4.375,NA,NA,early Eocene,Euungulata,USNM 23745,literature,Wasatchian Wa5-Wa7
Tetraclaenodon_puercensis,Te_pu,Paleocene,Paleocene,62.34,62.29,10070690,10070.69,NA,NA,NA,4.8784,NA,NA,NA,NA,NA,early Paleocene,Phenacodontidae (Perrisodactyla-Condylarth),NMMNH P-69914,segmented,Torrejonian To3
Tetraclaenodon_pliciferus,Te_pl,Paleocene,Paleocene,63.44,63.42,5432670,5432.67,5.22213,5222.13,716.187,NA,NA,NA,13.71446134,NA,NA,early Paleocene,Phenacodontidae (Perrisodactyla-Condylarth),NMMNH P-20949,segmented,Torrejonian To3
Mioclaenus_turgidus,Mi_tu,Paleocene,Paleocene,62.97,62.91,4699500,4699.5,NA,NA,NA,6.769,NA,NA,NA,NA,NA,early Paleocene,Condylarth,KU 7828,segmented,Torrejonian To2
Pleuraspidotherium_aumonieri,Pl_au,Paleocene,Paleocene,57.7,56,5207980,5207.98,6,6000,400,31.9216,NA,NA,6.666666667,0.532026667,NA,late Paleocene,Perrisodactyla-Condylarth,UCMP 61488/MHNP CR 252,literature/segmented,Cernaysian
Orthaspidotherium_edwardsi,Or_ed,Paleocene,Paleocene,57.7,56,1324600,1324.6,NA,NA,NA,36.8643,NA,NA,NA,NA,NA,late Paleocene,Perrisodactyla-Condylarth,IRSNB M1940,segmented,Cernaysian
Xenicohippus_sp.,Xe_sp,Eocene,Eocene crown groups,55.5,52.1,16000000,16000,29.4,29400,2690,NA,NA,NA,9.149659864,NA,NA,early Eocene,Perissodactyla,AMNH 55267,literature,Wasatchian Wa2-Wa7
Xenicohippus_osborni,Xe_os,Eocene,Eocene crown groups,56,52.1,12306770,12306.77,25,25000,NA,NA,NA,NA,NA,NA,NA,early Eocene,Perissodactyla,AMNH 55268,literature,Wasatchian
Heptodon_posticus,He_po,Eocene,Eocene crown groups,53,52.1,26545630,26545.63,44.5,44500,NA,NA,NA,NA,NA,NA,NA,early Eocene,Perissodactyla,MCZ 17670,literature,late Wasatchian Wa7
Amynodon_advenus,Am_ad,Eocene,Eocene crown groups,47.9,39.8,358835080,358835.08,235,235000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Perissodactyla,YPM 11453,literature,Uintan
Palaeosyops_robustus,Pa_ro,Eocene,Eocene crown groups,48.6,47.9,427080900,427080.9,220,220000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Perissodactyla,AMNH 1544,literature,Bridgerian Br3
Mesatirhinus_junius,Me_ju,Eocene,Eocene crown groups,52.1,47.9,399015660,399015.66,187.5,187500,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Perissodactyla,PM VPPU 010041/AM 39558,literature,Bridgerian
Hyrachyus_modestus,Hy_mo,Eocene,Eocene crown groups,49.25,48.6,62220394.46,62220.39446,76.5225,76522.5,6040.05,NA,3081.47,15431.4,7.893168676,NA,19.96882979,middle Eocene,Perissodactyla,AMNH FM 12664,segmented,Bridgerian Br2
Meniscotherium_chamense,Me_ch,Eocene,Eocene stem groups,53,50.05,6690110,6690.11,11.0347,11034.7,535.529,4.8,637.69,4364.99,4.853136016,0.043499144,14.60919727,early Eocene,Perissodactyla (Phenacodontidae),USNM 22673,segmented,late Wasatchian Wa7-Br1a
Phenacodus_wortmani,Ph_wo,Eocene,Eocene stem groups,55,53.3,10971230,10971.23,16.1928,16192.8,1203.014,NA,NA,NA,7.429314263,NA,NA,early Eocene,Perissodactyla (Phenacodontidae),AMNH FM 4378,segmented,Wasatchian Wa3-Wa5
Phenacodus_primaevus,Ph_pr,Eocene,Eocene stem groups,55,53.3,42427080,42427.08,31,31000,2800,NA,NA,NA,9.032258065,NA,NA,early Eocene,Perissodactyla (Phenacodontidae),AMNH 4367,literature,Wasatchian Wa3-Wa5
Homacodon_vagans,Ho_va,Eocene,Eocene crown groups,48.6,47.9,1220910,1220.91,9.5,9500,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Artiodactyla,AMNH 12695,literature,Bridgerian Br3
